Fecha,SalesUSD
2022-01-01,494903.04
2022-02-01,474105.71
2022-03-01,798067.15
2022-04-01,294629.61
2022-05-01,272032.91
2022-06-01,484204.17
2022-07-01,715221.61
2022-08-01,335922.66
2022-09-01,517788.17
2022-10-01,101859.51
2022-11-01,283734.78
2022-12-01,389876.24
2023-01-01,678991.99
2023-02-01,368192.45
2023-03-01,440095.87
2023-04-01,260824.02
2023-05-01,141280.47
2023-06-01,506421.95
2023-07-01,165662.72
2023-08-01,607828.12
2023-09-01,479448.16
2023-10-01,136545.92
2023-11-01,423297.85
2023-12-01,697428.48
