Fecha,SalesUSD
2021-01-01,4072238.256
2021-02-01,4489599.959
2021-03-01,5080535.199
2021-04-01,3452979.917
2021-05-01,4421704.513
2021-06-01,4138662.971
2021-07-01,1887687.673
2021-08-01,2329272.707
2021-09-01,5156281.459
2021-10-01,1958209.775
2021-11-01,2080586.435
2021-12-01,2168352.818
2022-01-01,2796953.623
2022-02-01,3367574.941
2022-03-01,3351545.919
2022-04-01,3167682.084
2022-05-01,2550522.04
2022-06-01,4116629.058
2022-07-01,2570063.945
2022-08-01,2243861.393
2022-09-01,2769351.805
2022-10-01,2360763.327
2022-11-01,2800957.012
2022-12-01,2395305.423
2023-01-01,3077750.383
2023-02-01,3419556.757
2023-03-01,2522831.96
2023-04-01,2055384.896
2023-05-01,3489698.233
2023-06-01,2803460.455
2023-07-01,1867607.882
2023-08-01,2839728.737
2023-09-01,2922858.695
2023-10-01,3011403.676
2023-11-01,3828692.708
2023-12-01,2306791.321
